timestamp,Resistance,Interval,Temperature
1557989676700,3271,0.696864,33.61
1557989887300,3708,0.58072,32.93
1557991180800,4572,0.91256,32.84
1557991662100,3019,0.91256,32.77
1557996535400,503,1.260992,32.22
1557997046700,827,0.978928,33.84
1558002671800,2637,0.713456,34.87
1558002792000,2893,0.713456,34.54
1558002942400,3681,0.730048,34.55
1558003002600,3612,0.730048,34.55
1558003153000,3520,0.796416,34.62
1558003634300,5954,0.514352,34.12
1558005138500,116,0.763232,33.73
1558006281500,1080,0.879376,32.21
1558006311600,823,0.763232,32.37
1558006462000,2047,0.66368,32.31
1558007454700,748,0.630496,31.5
1558007966100,2996,1.07848,32.02
1558009831200,682,0.66368,32.23
1558010132000,1314,0.796416,32.65
1558010162100,1281,0.763232,32.72
1558010462900,6670,0.215696,31.5
1558064076100,3481,0.929152,31.4
1558064858200,7445,0.862784,32.97
1558065219200,5803,0.74664,33.11
1558065399700,5564,0.763232,33.34
1558066061500,3623,0.8296,33.84
1558075761700,2900,0.132736,33.82
1558076243000,1154,0.398208,32.15
1558076273100,834,0.547536,32.01
1558077235700,461,0.91256,31.44
1558077476400,361,0.796416,31.5
1558077807300,553,0.846192,31.61
1558078078000,2022,0.813008,31.11
1558078619500,587,0.763232,31.5
1558079431700,6627,0.796416,31.86
1558079882900,2580,0.763232,31.78
1558079943100,4305,0.182512,31.72
1558080003300,6236,0.696864,31.46
1558080243900,5736,0.49776,30.93
1558080845600,925,0.763232,31.43
1558081236600,2813,0.99552,32.29
1558081266700,2893,1.095072,32.33
1558081417100,3019,0.99552,32.57
1558081477300,3096,0.91256,32.63
1558081778100,3665,1.012112,32.86
1558081898400,5390,0.730048,32.84
1558082048900,6613,0.862784,32.66
1558082319600,6892,0.99552,32.48
1558082470000,6406,0.962336,32.42
1558082560200,9694,0.91256,32.39
1558082831000,8330,0.879376,32.23
1558082981400,8041,0.91256,32.2
1558083101700,1987,0.846192,32.12
1558084094400,6420,0.813008,31.85
1558084124500,6148,1.07848,31.81
1558084365100,6488,0.846192,31.75
1558084395200,6501,0.730048,31.74
1558084996900,9922,0.74664,30.98
1558085267600,8822,0.74664,31.13
1558086711500,6173,0.862784,31.54
1558086801800,6049,0.796416,31.56
1558087403400,4512,0.895968,31.91
1558087644100,4013,0.730048,31.98
1558090261300,1652,0.597312,33.64
1558090442800,3790,0.962336,33.91
1558090472800,1661,0.74664,33.89
1558090534600,992,0.730048,33.76
1558090562200,393,1.095072,33.66
1558090592200,430,0.199104,33.64
1558090622700,563,0.730048,33.8
1558090652800,627,0.613904,33.63
1558090682800,329,1.393728,33.6
1558091439400,2287,0.862784,33.64
1558091494600,2871,0.895968,33.55
1558091555800,2319,0.547536,33.28
1558091705800,7192,0.613904,32.67
1558092337000,2561,0.846192,30.23
1558092397600,2785,1.128256,30.39
1558092878800,790,0.763232,29.43
1558092908800,583,0.647088,29.59
1558092938800,1946,0.713456,29.61
1558092968800,659,0.315248,29.69
1558092998800,673,0.74664,29.62
1558095736100,4224,1.012112,33.58
1558095976800,3713,0.879376,33.4
1558096608500,2897,0.862784,33.11
1558097601200,2953,0.99552,32.93
1558097631300,2953,1.012112,32.92
1558098263000,1566,1.07848,32.8
1558099015100,379,1.07848,32.73
1558100609400,404,1.111664,32.4
1558102143600,4224,1.260992,31.17
1558103136300,2577,0.796416,31.52
1558147905400,7462,0.58072,33.64
1558148657400,8102,0.945744,33.71
1558149229000,4550,1.07848,33.23
1558149379400,4319,1.028704,33.46
1558149920900,3746,1.045296,33.25
1558150582700,7533,0.945744,34.32
1558150913600,320,0.464576,33.24
1558151094100,1426,0.298656,32.22
