,timestamp,Resistance,Interval,Temperature,Timestamp,confidence,type,OldTimestamp,ActivityScore
0,1557977298800,1227,0.696864,31.82,2019-05-16 03:28:18.800,0.87,ON_FOOT,2429,0.1
1,1557977298800,1227,0.696864,31.82,2019-05-16 03:28:18.800,0.87,WALKING,2430,0.5
2,1557978713100,3051,0.713456,30.84,2019-05-16 03:51:53.100,0.97,STILL,2897,0.0
3,1557989817000,305,0.779824,33.21,2019-05-16 06:56:57.000,0.93,ON_FOOT,5228,0.1
4,1557989817000,305,0.779824,33.21,2019-05-16 06:56:57.000,0.93,RUNNING,5229,0.8
5,1558240881000,4527,0.862784,32.93,2019-05-19 04:41:21.000,0.99,STILL,33929,0.0
6,1558241512800,2034,0.813008,32.79,2019-05-19 04:51:52.800,0.97,STILL,34088,0.0
7,1558241874000,1771,0.862784,32.72,2019-05-19 04:57:54.000,1.0,STILL,34178,0.0
8,1558245243700,3235,0.862784,33.34,2019-05-19 05:54:03.700,0.98,STILL,34893,0.0
9,1558257160400,2079,0.945744,32.51,2019-05-19 09:12:40.400,1.0,STILL,37643,0.0
10,1558439264500,523,0.730048,32.46,2019-05-21 11:47:44.500,1.0,TILTING,59217,
