timestamp,Resistance,Interval,Temperature
1556594991000,6447,0.447984,30.22
1556595322000,5942,0.099552,31.43
1556595773100,1202,0.282064,33.02
1556595923600,1301,0.232288,33.02
1556595953600,1240,0.696864,32.99
1556596044100,1298,0.763232,33.04
1556596134300,1237,0.962336,33.0
1556596224500,1031,0.879376,33.06
1556596254600,844,0.66368,33.1
1556596314800,912,0.962336,33.13
1556597367600,798,0.99552,32.12
1556597488000,809,0.978928,32.29
1556597638400,767,0.846192,32.36
1556598089600,1354,0.978928,32.6
1556599413200,1705,0.945744,33.02
1556600044900,2235,0.978928,32.76
1556600225400,2915,0.879376,32.87
1556600496200,2416,0.91256,33.12
1556605128800,8637,0.58072,32.01
1556606242000,8917,0.8296,31.01
1556606362200,6699,0.895968,31.14
1556608137100,4535,0.24888,29.76
1556608708600,3011,0.730048,29.73
1556609731400,8869,0.713456,30.14
1556669129700,3116,0.530944,29.93
1556673461000,8547,0.4148,32.17
1556675807300,5781,0.298656,35.12
1556680439900,4760,0.680272,33.78
1556686847600,1656,0.647088,34.11
1556686877700,1323,0.879376,34.08
1556687270600,2710,0.796416,33.46
1556689795700,6353,0.929152,35.07
1556695180500,1168,0.66368,31.35
1556695511400,3166,0.049776,31.2
1556766499000,3275,0.116144,31.88
1556766860000,5140,0.199104,32.35
1556767431600,930,0.713456,31.1
1556767882800,6529,0.730048,30.58
1556774530600,4361,0.929152,32.11
1556779584500,442,0.680272,31.05
1556779614600,357,0.630496,31.49
1556779825200,389,0.730048,31.16
1556780938200,4557,0.779824,31.28
1556781239000,1552,0.846192,30.8
1556781329300,1826,0.796416,30.78
1556781389500,803,0.730048,31.15
1556781569900,3409,0.713456,31.22
1556781750400,1927,0.779824,31.05
1556781870700,4425,0.8296,31.55
1556782081300,4769,0.945744,32.16
1556782171600,4769,0.58072,31.99
1556783043900,8570,1.045296,31.89
1556783224400,3096,1.2444,32.1
1556783495200,3394,0.895968,31.7
1556783525300,2754,0.8296,31.74
1556783645600,9088,0.8296,32.14
1556783916400,5681,0.846192,31.62
1556783946400,3773,0.862784,31.62
1556785781500,2782,0.514352,29.85
1556785841700,1618,0.58072,29.79
1556787285600,9835,0.879376,31.77
1556788158000,1732,0.796416,32.78
1556788849900,4673,0.613904,30.44
1556788940100,6585,0.730048,30.47
1556789812500,3371,0.813008,30.03
1556789872700,2365,0.215696,30.05
1556791527200,8437,0.66368,29.43
1556791767800,9556,0.348432,30.06
1556791948300,1156,0.630496,29.72
1556792309300,1333,0.398208,30.37
1556792429600,1981,0.862784,30.77
1556792850800,2107,0.613904,31.06
1556793121500,4988,0.298656,31.41
1556794234600,1124,0.779824,30.82
1556794385000,1138,0.696864,31.1
1556794625600,555,0.8296,31.51
1556794806200,991,0.879376,31.23
1556797772300,2160,0.978928,31.53
1556798013000,2720,0.929152,31.37
1556799457100,3735,0.895968,31.35
1556800780500,738,0.813008,32.2
1556801081300,922,0.8296,32.03
1556801291900,910,0.91256,32.16
1556801442300,880,0.813008,32.25
1556801773200,748,0.730048,32.04
1556802104100,3824,0.862784,32.7
1556802404900,7224,0.24888,32.12
1556802736400,2077,0.713456,31.81
1556803548600,8061,0.66368,31.2
1556803608800,2243,0.8296,30.92
1556804421000,9369,0.33184,30.96
1556805233200,8372,0.945744,29.85
1556805564100,3481,0.779824,30.61
1556805834800,1074,0.730048,30.73
1556806075500,2980,0.58072,29.84
1556854327100,5440,0.879376,32.69
1556854507600,1758,0.978928,31.61
1556854567800,1243,0.597312,32.26
1556854597900,4834,0.66368,32.42
1556854688200,1100,0.66368,32.67
1556854748300,2011,0.879376,32.91
1556854928800,459,0.74664,33.35
